Lead,X,Y
Lead I,52,121
Lead I,52,117
Lead I,53,121
Lead I,53,117
Lead I,54,118
Lead I,55,123
Lead I,55,118
Lead I,56,119
Lead I,58,119
Lead I,58,123
Lead I,59,118
Lead I,59,117
Lead I,60,117
Lead I,60,120
Lead I,60,121
Lead I,61,116
Lead I,61,119
Lead I,63,119
Lead I,64,116
Lead I,64,120
Lead I,65,115
Lead I,66,214
Lead I,66,205
Lead I,67,115
Lead I,67,120
Lead I,67,205
Lead I,67,214
Lead I,68,114
Lead I,69,118
Lead I,71,114
Lead I,71,118
Lead I,72,113
Lead I,72,117
Lead I,74,115
Lead I,74,117
Lead I,76,186
Lead I,76,165
Lead I,77,187
Lead I,77,164
Lead I,77,161
Lead I,77,162
Lead I,77,177
Lead I,78,163
Lead I,78,176
Lead I,79,134
Lead I,80,119
Lead I,80,118
Lead I,81,119
Lead I,81,117
Lead I,81,116
Lead I,82,118
Lead I,82,115
Lead I,83,115
Lead I,84,118
Lead I,84,116
Lead I,85,119
Lead I,87,119
Lead I,87,116
Lead I,88,118
Lead I,88,115
Lead I,89,115
Lead I,91,118
Lead I,91,113
Lead I,91,112
Lead I,91,113
Lead I,92,119
Lead I,92,114
Lead I,92,115
Lead I,93,116
Lead I,96,116
Lead I,97,119
Lead I,97,117
Lead I,98,120
Lead I,100,120
Lead I,100,117
Lead I,101,121
Lead I,101,118
Lead I,102,118
Lead I,103,119
Lead I,104,121
Lead I,104,119
Lead I,107,122
Lead I,109,122
Lead I,110,127
Lead I,110,121
Lead I,111,127
Lead I,111,122
Lead I,112,128
Lead I,113,128
Lead I,113,122
Lead I,113,124
Lead I,114,125
Lead I,114,126
Lead I,115,130
Lead I,115,127
Lead I,117,130
Lead I,118,131
Lead I,118,127
Lead I,119,126
Lead I,119,121
Lead I,119,130
Lead I,119,131
Lead I,120,128
Lead I,120,129
Lead I,121,126
Lead I,121,127
Lead I,122,121
Lead I,124,123
Lead I,125,118
Lead I,125,117
Lead I,125,122
Lead I,125,123
Lead I,127,117
Lead I,127,120
Lead I,128,116
Lead I,132,116
Lead I,133,115
Lead I,133,114
Lead I,134,114
Lead I,136,116
Lead I,141,116
Lead I,141,120
Lead I,142,115
Lead I,143,122
Lead I,144,121
Lead I,146,115
Lead I,147,114
Lead I,147,113
Lead I,148,113
Lead I,148,115
Lead I,148,121
Lead I,149,120
Lead I,150,117
Lead I,153,117
Lead I,154,116
Lead I,157,116
Lead I,157,120
Lead I,158,115
Lead I,158,114
Lead I,158,121
Lead I,159,114
Lead I,159,120
Lead I,160,115
Lead I,162,120
Lead I,163,121
Lead I,165,119
Lead I,168,115
Lead I,169,116
Lead I,173,116
Lead I,174,115
Lead I,175,115
Lead I,175,116
Lead I,176,117
Lead I,177,119
Lead I,178,120
Lead I,180,117
Lead I,180,118
Lead I,180,120
Lead I,181,119
Lead I,184,119
Lead I,184,124
Lead I,185,118
Lead I,186,121
Lead I,186,122
Lead I,188,118
Lead I,188,119
Lead I,189,119
Lead I,190,118
Lead I,191,118
Lead I,192,114
Lead I,192,117
Lead I,193,115
Lead I,194,117
Lead I,195,115
Lead I,195,118
Lead I,196,114
Lead I,196,117
Lead I,199,114
Lead I,200,113
Lead I,200,117
Lead I,201,121
Lead I,201,118
Lead I,202,115
Lead I,202,122
Lead I,202,134
Lead I,203,142
Lead I,203,184
Lead I,203,159
Lead I,204,142
Lead I,204,187
Lead I,204,185
Lead I,204,158
Lead I,204,186
Lead I,205,141
Lead I,205,142
Lead I,205,158
Lead I,205,185
Lead I,206,123
Lead I,206,122
Lead I,206,135
Lead I,206,134
Lead I,207,120
Lead I,207,123
Lead I,207,121
Lead I,207,119
Lead I,208,119
Lead I,208,118
Lead I,208,117
Lead I,210,115
Lead I,210,111
Lead I,211,119
Lead I,211,111
Lead I,211,112
Lead I,212,118
Lead I,214,115
Lead I,216,118
Lead I,216,115
Lead I,217,119
Lead I,218,119
Lead I,218,113
Lead I,219,118
Lead I,219,113
Lead I,221,118
Lead I,221,115
Lead I,222,119
Lead I,223,115
Lead I,224,114
Lead I,225,114
Lead I,225,115
Lead I,226,119
Lead I,226,116
Lead I,228,121
Lead I,228,116
Lead I,229,117
Lead I,230,117
Lead I,232,121
Lead I,233,123
Lead I,233,122
Lead I,233,120
Lead I,234,123
Lead I,235,120
Lead I,236,127
Lead I,236,125
Lead I,236,121
Lead I,237,121
Lead I,237,123
Lead I,238,127
Lead I,239,125
Lead I,240,130
Lead I,240,129
Lead I,241,125
Lead I,241,126
Lead I,241,130
Lead I,242,127
Lead I,242,129
Lead I,244,127
Lead I,245,126
Lead I,245,123
Lead I,246,122
Lead I,246,119
Lead I,246,129
Lead I,247,118
Lead I,247,127
Lead I,247,128
Lead I,248,119
Lead I,248,124
Lead I,248,126
Lead I,250,119
Lead I,250,122
Lead I,251,118
Lead I,251,117
Lead I,251,122
Lead I,252,116
Lead I,252,120
Lead I,252,121
Lead I,253,116
Lead I,253,119
Lead I,254,117
Lead I,256,117
Lead I,256,119
Lead I,257,120
Lead I,259,114
Lead I,260,114
Lead I,260,120
Lead I,261,115
Lead I,261,119
Lead I,265,115
Lead I,265,119
Lead I,266,114
Lead I,266,112
Lead I,266,120
Lead I,267,119
Lead I,268,112
Lead I,268,113
Lead I,269,114
Lead I,270,114
Lead I,271,115
Lead I,274,119
Lead I,275,115
Lead I,275,120
Lead I,276,114
Lead I,276,120
Lead I,277,114
Lead I,277,119
Lead I,278,115
Lead I,280,115
Lead I,280,119
Lead I,281,114
Lead I,281,113
Lead I,281,120
Lead I,282,112
Lead I,282,111
Lead I,282,112
Lead I,282,119
Lead I,284,114
Lead I,284,119
Lead I,285,118
Lead I,287,118
Lead I,289,114
Lead I,289,120
Lead I,290,113
Lead I,290,120
Lead I,292,118
Lead I,293,113
Lead I,294,112
Lead I,295,112
Lead I,295,113
Lead I,295,118
Lead I,296,114
Lead I,296,117
Lead I,298,114
Lead I,299,113
Lead I,299,117
Lead I,300,118
Lead I,301,113
Lead I,302,112
Lead I,303,112
Lead I,303,113
Lead I,305,115
Lead I,307,115
Lead I,307,118
Lead I,308,114
Lead I,308,112
Lead I,309,111
Lead I,310,111
Lead I,310,123
Lead I,310,121
Lead I,311,112
Lead I,311,116
Lead I,311,123
Lead I,313,118
Lead I,314,120
Lead I,315,118
Lead I,316,120
Lead I,317,119
Lead I,318,115
Lead I,318,114
Lead I,318,119
Lead I,319,113
Lead I,319,111
Lead I,319,118
Lead I,322,111
Lead I,323,110
Lead I,323,117
Lead I,323,118
Lead I,324,110
Lead I,324,116
Lead I,326,112
Lead I,326,116
Lead I,327,115
Lead I,330,115
Lead I,331,112
Lead I,331,119
Lead I,331,116
Lead I,332,134
Lead I,332,142
Lead I,333,172
Lead I,333,161
Lead I,334,142
Lead I,334,142
Lead I,334,173
Lead I,334,160
Lead I,334,159
Lead I,335,143
Lead I,335,141
Lead I,335,158
Lead I,335,172
Lead I,336,117
Lead I,336,134
Lead I,337,116
Lead I,337,115
Lead I,339,117
Lead I,339,115
Lead I,340,118
Lead I,341,118
Lead I,341,113
Lead I,341,110
Lead I,342,119
Lead I,342,110
Lead I,342,111
